house,category,constituency,district,state,representative,role,username,password
Lok Sabha,District Authority Auditor,FARRUKHABAD,FARRUKHABAD,Uttar Pradesh,Mukesh Rajput,District Authority Auditor,auditor_farrukhabad,Auditor@Farrukhabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),FARRUKHABAD,FARRUKHABAD,Uttar Pradesh,Mukesh Rajput,Member of Parliament,mp_farrukhabad,MP@Farrukhabad2026!
Lok Sabha,District Authority Auditor,FATEHGARH SAHIB(SC),FATEHGARH SAHIB(SC),Punjab,Shri Amar Singh,District Authority Auditor,auditor_fatehgarh_sahib,Auditor@FatehgarhSah2026!
Lok Sabha,Member of Parliament (Lok Sabha),FATEHGARH SAHIB(SC),FATEHGARH SAHIB(SC),Punjab,Shri Amar Singh,Member of Parliament,mp_fatehgarh_sahib,MP@FatehgarhSah2026!
Lok Sabha,District Authority Auditor,FATEHPUR,FATEHPUR,Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,District Authority Auditor,auditor_fatehpur,Auditor@Fatehpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),FATEHPUR,FATEHPUR,Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,Member of Parliament,mp_fatehpur,MP@Fatehpur2026!
Lok Sabha,District Authority Auditor,FATEHPUR SIKRI,FATEHPUR SIKRI,Uttar Pradesh,Rajkumar Chahar,District Authority Auditor,auditor_fatehpur_sikri,Auditor@FatehpurSikr2026!
Lok Sabha,Member of Parliament (Lok Sabha),FATEHPUR SIKRI,FATEHPUR SIKRI,Uttar Pradesh,Rajkumar Chahar,Member of Parliament,mp_fatehpur_sikri,MP@FatehpurSikr2026!
Lok Sabha,District Authority Auditor,FIROZABAD,FIROZABAD,Uttar Pradesh,AKSHAYA YADAV,District Authority Auditor,auditor_firozabad,Auditor@Firozabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),FIROZABAD,FIROZABAD,Uttar Pradesh,AKSHAYA YADAV,Member of Parliament,mp_firozabad,MP@Firozabad2026!
Lok Sabha,District Authority Auditor,FIROZPUR,FIROZPUR,Punjab,SHER SINGH GHUBAYA,District Authority Auditor,auditor_firozpur,Auditor@Firozpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),FIROZPUR,FIROZPUR,Punjab,SHER SINGH GHUBAYA,Member of Parliament,mp_firozpur,MP@Firozpur2026!
Lok Sabha,District Authority Auditor,GADCHIROLI-CHIMUR(ST),GADCHIROLI-CHIMUR(ST),Maharashtra,DR. KIRSAN NAMDEO,District Authority Auditor,auditor_gadchiroli_chimur,Auditor@GadchiroliCh2026!
Lok Sabha,Member of Parliament (Lok Sabha),GADCHIROLI-CHIMUR(ST),GADCHIROLI-CHIMUR(ST),Maharashtra,DR. KIRSAN NAMDEO,Member of Parliament,mp_gadchiroli_chimur,MP@GadchiroliCh2026!
Lok Sabha,District Authority Auditor,GANDHINAGAR,GANDHINAGAR,Gujarat,Shri Amit Shah,District Authority Auditor,auditor_gandhinagar,Auditor@Gandhinagar2026!
Lok Sabha,Member of Parliament (Lok Sabha),GANDHINAGAR,GANDHINAGAR,Gujarat,Shri Amit Shah,Member of Parliament,mp_gandhinagar,MP@Gandhinagar2026!
Lok Sabha,District Authority Auditor,GANGANAGAR(SC),GANGANAGAR(SC),Rajasthan,KULDEEP INDORA,District Authority Auditor,auditor_ganganagar,Auditor@Ganganagar2026!
Lok Sabha,Member of Parliament (Lok Sabha),GANGANAGAR(SC),GANGANAGAR(SC),Rajasthan,KULDEEP INDORA,Member of Parliament,mp_ganganagar,MP@Ganganagar2026!
Lok Sabha,District Authority Auditor,GARHWAL,GARHWAL,Uttarakhand,ANIL BALUNI,District Authority Auditor,auditor_garhwal,Auditor@Garhwal2026!
Lok Sabha,Member of Parliament (Lok Sabha),GARHWAL,GARHWAL,Uttarakhand,ANIL BALUNI,Member of Parliament,mp_garhwal,MP@Garhwal2026!
Lok Sabha,District Authority Auditor,GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,Uttar Pradesh,Mahesh Sharma,District Authority Auditor,auditor_gautam_buddha_nagar,Auditor@GautamBuddha2026!
Lok Sabha,Member of Parliament (Lok Sabha),GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,Uttar Pradesh,Mahesh Sharma,Member of Parliament,mp_gautam_buddha_nagar,MP@GautamBuddha2026!
Lok Sabha,District Authority Auditor,GAYA (SC),GAYA (SC),Bihar,JITAN RAM MANJHI,District Authority Auditor,auditor_gaya,Auditor@Gaya2026!
Lok Sabha,Member of Parliament (Lok Sabha),GAYA (SC),GAYA (SC),Bihar,JITAN RAM MANJHI,Member of Parliament,mp_gaya,MP@Gaya2026!
Lok Sabha,District Authority Auditor,GHATAL,GHATAL,West Bengal,Shri Deepak (Dev) Adhikari,District Authority Auditor,auditor_ghatal,Auditor@Ghatal2026!
Lok Sabha,Member of Parliament (Lok Sabha),GHATAL,GHATAL,West Bengal,Shri Deepak (Dev) Adhikari,Member of Parliament,mp_ghatal,MP@Ghatal2026!
Lok Sabha,District Authority Auditor,GHAZIABAD,GHAZIABAD,Uttar Pradesh,ATUL GARG,District Authority Auditor,auditor_ghaziabad,Auditor@Ghaziabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),GHAZIABAD,GHAZIABAD,Uttar Pradesh,ATUL GARG,Member of Parliament,mp_ghaziabad,MP@Ghaziabad2026!
Lok Sabha,District Authority Auditor,GHAZIPUR,GHAZIPUR,Uttar Pradesh,AFZAL ANSARI,District Authority Auditor,auditor_ghazipur,Auditor@Ghazipur2026!
Lok Sabha,Member of Parliament (Lok Sabha),GHAZIPUR,GHAZIPUR,Uttar Pradesh,AFZAL ANSARI,Member of Parliament,mp_ghazipur,MP@Ghazipur2026!
Lok Sabha,District Authority Auditor,GHOSI,GHOSI,Uttar Pradesh,RAJEEV RAI,District Authority Auditor,auditor_ghosi,Auditor@Ghosi2026!
Lok Sabha,Member of Parliament (Lok Sabha),GHOSI,GHOSI,Uttar Pradesh,RAJEEV RAI,Member of Parliament,mp_ghosi,MP@Ghosi2026!
Lok Sabha,District Authority Auditor,GIRIDIH,GIRIDIH,Jharkhand,Shri Chandra Prakash Choudhary,District Authority Auditor,auditor_giridih,Auditor@Giridih2026!
Lok Sabha,Member of Parliament (Lok Sabha),GIRIDIH,GIRIDIH,Jharkhand,Shri Chandra Prakash Choudhary,Member of Parliament,mp_giridih,MP@Giridih2026!
Lok Sabha,District Authority Auditor,GODDA,GODDA,Jharkhand,Nishikant Dubey,District Authority Auditor,auditor_godda,Auditor@Godda2026!
Lok Sabha,Member of Parliament (Lok Sabha),GODDA,GODDA,Jharkhand,Nishikant Dubey,Member of Parliament,mp_godda,MP@Godda2026!
Lok Sabha,District Authority Auditor,GONDA,GONDA,Uttar Pradesh,Kirti Vardhan Singh,District Authority Auditor,auditor_gonda,Auditor@Gonda2026!
Lok Sabha,Member of Parliament (Lok Sabha),GONDA,GONDA,Uttar Pradesh,Kirti Vardhan Singh,Member of Parliament,mp_gonda,MP@Gonda2026!
Lok Sabha,District Authority Auditor,GOPALGANJ (SC),GOPALGANJ (SC),Bihar,Alok Kumar Suman,District Authority Auditor,auditor_gopalganj,Auditor@Gopalganj2026!
Lok Sabha,Member of Parliament (Lok Sabha),GOPALGANJ (SC),GOPALGANJ (SC),Bihar,Alok Kumar Suman,Member of Parliament,mp_gopalganj,MP@Gopalganj2026!
Lok Sabha,District Authority Auditor,GORAKHPUR,GORAKHPUR,Uttar Pradesh,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,District Authority Auditor,auditor_gorakhpur,Auditor@Gorakhpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),GORAKHPUR,GORAKHPUR,Uttar Pradesh,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,Member of Parliament,mp_gorakhpur,MP@Gorakhpur2026!
Lok Sabha,District Authority Auditor,GULBARGA(SC),GULBARGA(SC),Karnataka,RADHAKRISHNA,District Authority Auditor,auditor_gulbarga,Auditor@Gulbarga2026!
Lok Sabha,Member of Parliament (Lok Sabha),GULBARGA(SC),GULBARGA(SC),Karnataka,RADHAKRISHNA,Member of Parliament,mp_gulbarga,MP@Gulbarga2026!
Lok Sabha,District Authority Auditor,GUNA,GUNA,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,District Authority Auditor,auditor_guna,Auditor@Guna2026!
Lok Sabha,Member of Parliament (Lok Sabha),GUNA,GUNA,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,Member of Parliament,mp_guna,MP@Guna2026!
Lok Sabha,District Authority Auditor,GUNTUR,GUNTUR,Andhra Pradesh,Dr Chandra Sekhar Pemmasani,District Authority Auditor,auditor_guntur,Auditor@Guntur2026!
Lok Sabha,Member of Parliament (Lok Sabha),GUNTUR,GUNTUR,Andhra Pradesh,Dr Chandra Sekhar Pemmasani,Member of Parliament,mp_guntur,MP@Guntur2026!
Lok Sabha,District Authority Auditor,GURDASPUR,GURDASPUR,Punjab,SUKHJINDER SINGH RANDHAWA,District Authority Auditor,auditor_gurdaspur,Auditor@Gurdaspur2026!
Lok Sabha,Member of Parliament (Lok Sabha),GURDASPUR,GURDASPUR,Punjab,SUKHJINDER SINGH RANDHAWA,Member of Parliament,mp_gurdaspur,MP@Gurdaspur2026!
Lok Sabha,District Authority Auditor,GURGAON,GURGAON,Haryana,Rao Inderjit Singh,District Authority Auditor,auditor_gurgaon,Auditor@Gurgaon2026!
Lok Sabha,Member of Parliament (Lok Sabha),GURGAON,GURGAON,Haryana,Rao Inderjit Singh,Member of Parliament,mp_gurgaon,MP@Gurgaon2026!
Lok Sabha,District Authority Auditor,GUWAHATI,GUWAHATI,Assam,BIJULI KALITA MEDHI,District Authority Auditor,auditor_guwahati,Auditor@Guwahati2026!
Lok Sabha,Member of Parliament (Lok Sabha),GUWAHATI,GUWAHATI,Assam,BIJULI KALITA MEDHI,Member of Parliament,mp_guwahati,MP@Guwahati2026!
Lok Sabha,District Authority Auditor,GWALIOR,GWALIOR,Madhya Pradesh,BHARAT SINGH KUSHWAH,District Authority Auditor,auditor_gwalior,Auditor@Gwalior2026!
Lok Sabha,Member of Parliament (Lok Sabha),GWALIOR,GWALIOR,Madhya Pradesh,BHARAT SINGH KUSHWAH,Member of Parliament,mp_gwalior,MP@Gwalior2026!
Lok Sabha,District Authority Auditor,HAJIPUR(SC),HAJIPUR(SC),Bihar,CHIRAG PASWAN,District Authority Auditor,auditor_hajipur,Auditor@Hajipur2026!
Lok Sabha,Member of Parliament (Lok Sabha),HAJIPUR(SC),HAJIPUR(SC),Bihar,CHIRAG PASWAN,Member of Parliament,mp_hajipur,MP@Hajipur2026!
Lok Sabha,District Authority Auditor,HAMIRPUR_HP,HAMIRPUR_HP,Himachal Pradesh,Anurag Singh Thakur,District Authority Auditor,auditor_hamirpur_hp,Auditor@HamirpurHp2026!
Lok Sabha,Member of Parliament (Lok Sabha),HAMIRPUR_HP,HAMIRPUR_HP,Himachal Pradesh,Anurag Singh Thakur,Member of Parliament,mp_hamirpur_hp,MP@HamirpurHp2026!
Lok Sabha,District Authority Auditor,HAMIRPUR_UP,HAMIRPUR_UP,Uttar Pradesh,AJENDRA SINGH LODHI,District Authority Auditor,auditor_hamirpur_up,Auditor@HamirpurUp2026!
Lok Sabha,Member of Parliament (Lok Sabha),HAMIRPUR_UP,HAMIRPUR_UP,Uttar Pradesh,AJENDRA SINGH LODHI,Member of Parliament,mp_hamirpur_up,MP@HamirpurUp2026!
Lok Sabha,District Authority Auditor,HARDOI (SC),HARDOI (SC),Uttar Pradesh,Jai Prakash,District Authority Auditor,auditor_hardoi,Auditor@Hardoi2026!
Lok Sabha,Member of Parliament (Lok Sabha),HARDOI (SC),HARDOI (SC),Uttar Pradesh,Jai Prakash,Member of Parliament,mp_hardoi,MP@Hardoi2026!
Lok Sabha,District Authority Auditor,HARDWAR,HARDWAR,Uttarakhand,TRIVENDRA SINGH RAWAT,District Authority Auditor,auditor_hardwar,Auditor@Hardwar2026!
Lok Sabha,Member of Parliament (Lok Sabha),HARDWAR,HARDWAR,Uttarakhand,TRIVENDRA SINGH RAWAT,Member of Parliament,mp_hardwar,MP@Hardwar2026!
Lok Sabha,District Authority Auditor,HASSAN,HASSAN,Karnataka,SHREYAS. M. PATEL,District Authority Auditor,auditor_hassan,Auditor@Hassan2026!
Lok Sabha,Member of Parliament (Lok Sabha),HASSAN,HASSAN,Karnataka,SHREYAS. M. PATEL,Member of Parliament,mp_hassan,MP@Hassan2026!
Lok Sabha,District Authority Auditor,HATHRAS (SC),HATHRAS (SC),Uttar Pradesh,ANOOP PRADHAN BALMIKI,District Authority Auditor,auditor_hathras,Auditor@Hathras2026!
Lok Sabha,Member of Parliament (Lok Sabha),HATHRAS (SC),HATHRAS (SC),Uttar Pradesh,ANOOP PRADHAN BALMIKI,Member of Parliament,mp_hathras,MP@Hathras2026!
Lok Sabha,District Authority Auditor,HATKANANGLE,HATKANANGLE,Maharashtra,Dhairyasheel Sambhajirao Mane,District Authority Auditor,auditor_hatkanangle,Auditor@Hatkanangle2026!
Lok Sabha,Member of Parliament (Lok Sabha),HATKANANGLE,HATKANANGLE,Maharashtra,Dhairyasheel Sambhajirao Mane,Member of Parliament,mp_hatkanangle,MP@Hatkanangle2026!
Lok Sabha,District Authority Auditor,HAVERI,HAVERI,Karnataka,BASAVARAJ BOMMAI,District Authority Auditor,auditor_haveri,Auditor@Haveri2026!
Lok Sabha,Member of Parliament (Lok Sabha),HAVERI,HAVERI,Karnataka,BASAVARAJ BOMMAI,Member of Parliament,mp_haveri,MP@Haveri2026!
Lok Sabha,District Authority Auditor,HAZARIBAGH,HAZARIBAGH,Jharkhand,MANISH JAISWAL,District Authority Auditor,auditor_hazaribagh,Auditor@Hazaribagh2026!
Lok Sabha,Member of Parliament (Lok Sabha),HAZARIBAGH,HAZARIBAGH,Jharkhand,MANISH JAISWAL,Member of Parliament,mp_hazaribagh,MP@Hazaribagh2026!
Lok Sabha,District Authority Auditor,HINDUPUR,HINDUPUR,Andhra Pradesh,B K PARTHASARATHI,District Authority Auditor,auditor_hindupur,Auditor@Hindupur2026!
Lok Sabha,Member of Parliament (Lok Sabha),HINDUPUR,HINDUPUR,Andhra Pradesh,B K PARTHASARATHI,Member of Parliament,mp_hindupur,MP@Hindupur2026!
Lok Sabha,District Authority Auditor,HINGOLI,HINGOLI,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,District Authority Auditor,auditor_hingoli,Auditor@Hingoli2026!
Lok Sabha,Member of Parliament (Lok Sabha),HINGOLI,HINGOLI,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Member of Parliament,mp_hingoli,MP@Hingoli2026!
Lok Sabha,District Authority Auditor,HISAR,HISAR,Haryana,JAI PARKASH,District Authority Auditor,auditor_hisar,Auditor@Hisar2026!
Lok Sabha,Member of Parliament (Lok Sabha),HISAR,HISAR,Haryana,JAI PARKASH,Member of Parliament,mp_hisar,MP@Hisar2026!
Lok Sabha,District Authority Auditor,HOOGHLY,HOOGHLY,West Bengal,RACHNA BANERJEE,District Authority Auditor,auditor_hooghly,Auditor@Hooghly2026!
Lok Sabha,Member of Parliament (Lok Sabha),HOOGHLY,HOOGHLY,West Bengal,RACHNA BANERJEE,Member of Parliament,mp_hooghly,MP@Hooghly2026!
Lok Sabha,District Authority Auditor,HOSHANGABAD,HOSHANGABAD,Madhya Pradesh,DARSHAN SINGH CHOUDHARY,District Authority Auditor,auditor_hoshangabad,Auditor@Hoshangabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),HOSHANGABAD,HOSHANGABAD,Madhya Pradesh,DARSHAN SINGH CHOUDHARY,Member of Parliament,mp_hoshangabad,MP@Hoshangabad2026!
Lok Sabha,District Authority Auditor,HOSHIARPUR(SC),HOSHIARPUR(SC),Punjab,DR. RAJ KUMAR CHABBEWAL,District Authority Auditor,auditor_hoshiarpur,Auditor@Hoshiarpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),HOSHIARPUR(SC),HOSHIARPUR(SC),Punjab,DR. RAJ KUMAR CHABBEWAL,Member of Parliament,mp_hoshiarpur,MP@Hoshiarpur2026!
Lok Sabha,District Authority Auditor,HOWRAH,HOWRAH,West Bengal,Prasun Banerjee,District Authority Auditor,auditor_howrah,Auditor@Howrah2026!
Lok Sabha,Member of Parliament (Lok Sabha),HOWRAH,HOWRAH,West Bengal,Prasun Banerjee,Member of Parliament,mp_howrah,MP@Howrah2026!
Lok Sabha,District Authority Auditor,HYDERABAD,HYDERABAD,Telangana,Asaduddin Owaisi,District Authority Auditor,auditor_hyderabad,Auditor@Hyderabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),HYDERABAD,HYDERABAD,Telangana,Asaduddin Owaisi,Member of Parliament,mp_hyderabad,MP@Hyderabad2026!
Lok Sabha,District Authority Auditor,IDUKKI,IDUKKI,Kerala,Adv Dean Kuriakose,District Authority Auditor,auditor_idukki,Auditor@Idukki2026!
Lok Sabha,Member of Parliament (Lok Sabha),IDUKKI,IDUKKI,Kerala,Adv Dean Kuriakose,Member of Parliament,mp_idukki,MP@Idukki2026!
Lok Sabha,District Authority Auditor,INDORE,INDORE,Madhya Pradesh,Shankar Lalwani,District Authority Auditor,auditor_indore,Auditor@Indore2026!
Lok Sabha,Member of Parliament (Lok Sabha),INDORE,INDORE,Madhya Pradesh,Shankar Lalwani,Member of Parliament,mp_indore,MP@Indore2026!
Lok Sabha,District Authority Auditor,INNER MANIPUR,INNER MANIPUR,Manipur,ANGOMCHA BIMOL AKOIJAM,District Authority Auditor,auditor_inner_manipur,Auditor@InnerManipur2026!
Lok Sabha,Member of Parliament (Lok Sabha),INNER MANIPUR,INNER MANIPUR,Manipur,ANGOMCHA BIMOL AKOIJAM,Member of Parliament,mp_inner_manipur,MP@InnerManipur2026!
Lok Sabha,District Authority Auditor,JABALPUR,JABALPUR,Madhya Pradesh,ASHISH DUBEY,District Authority Auditor,auditor_jabalpur,Auditor@Jabalpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JABALPUR,JABALPUR,Madhya Pradesh,ASHISH DUBEY,Member of Parliament,mp_jabalpur,MP@Jabalpur2026!
Lok Sabha,District Authority Auditor,JADAVPUR,JADAVPUR,West Bengal,SAYANI GHOSH,District Authority Auditor,auditor_jadavpur,Auditor@Jadavpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JADAVPUR,JADAVPUR,West Bengal,SAYANI GHOSH,Member of Parliament,mp_jadavpur,MP@Jadavpur2026!
Lok Sabha,District Authority Auditor,JAGATSINGHPUR(SC),JAGATSINGHPUR(SC),Odisha,BIBHU PRASAD TARAI,District Authority Auditor,auditor_jagatsinghpur,Auditor@Jagatsinghpu2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAGATSINGHPUR(SC),JAGATSINGHPUR(SC),Odisha,BIBHU PRASAD TARAI,Member of Parliament,mp_jagatsinghpur,MP@Jagatsinghpu2026!
Lok Sabha,District Authority Auditor,JAHANABAD,JAHANABAD,Bihar,SURENDRA PRASAD YADAV,District Authority Auditor,auditor_jahanabad,Auditor@Jahanabad2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAHANABAD,JAHANABAD,Bihar,SURENDRA PRASAD YADAV,Member of Parliament,mp_jahanabad,MP@Jahanabad2026!
Lok Sabha,District Authority Auditor,JAIPUR,JAIPUR,Rajasthan,MANJU SHARMA,District Authority Auditor,auditor_jaipur,Auditor@Jaipur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAIPUR,JAIPUR,Rajasthan,MANJU SHARMA,Member of Parliament,mp_jaipur,MP@Jaipur2026!
Lok Sabha,District Authority Auditor,JAIPUR RURAL,JAIPUR RURAL,Rajasthan,Rao Rajendra Singh,District Authority Auditor,auditor_jaipur_rural,Auditor@JaipurRural2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAIPUR RURAL,JAIPUR RURAL,Rajasthan,Rao Rajendra Singh,Member of Parliament,mp_jaipur_rural,MP@JaipurRural2026!
Lok Sabha,District Authority Auditor,JAJPUR(SC),JAJPUR(SC),Odisha,RABINDRA NARAYAN BEHERA,District Authority Auditor,auditor_jajpur,Auditor@Jajpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAJPUR(SC),JAJPUR(SC),Odisha,RABINDRA NARAYAN BEHERA,Member of Parliament,mp_jajpur,MP@Jajpur2026!
Lok Sabha,District Authority Auditor,JALANDHAR(SC),JALANDHAR(SC),Punjab,CHARANJIT SINGH CHANNI,District Authority Auditor,auditor_jalandhar,Auditor@Jalandhar2026!
Lok Sabha,Member of Parliament (Lok Sabha),JALANDHAR(SC),JALANDHAR(SC),Punjab,CHARANJIT SINGH CHANNI,Member of Parliament,mp_jalandhar,MP@Jalandhar2026!
Lok Sabha,District Authority Auditor,JALAUN(SC),JALAUN(SC),Uttar Pradesh,NARAYAN DAS AHIRWAR,District Authority Auditor,auditor_jalaun,Auditor@Jalaun2026!
Lok Sabha,Member of Parliament (Lok Sabha),JALAUN(SC),JALAUN(SC),Uttar Pradesh,NARAYAN DAS AHIRWAR,Member of Parliament,mp_jalaun,MP@Jalaun2026!
Lok Sabha,District Authority Auditor,JALGAON,JALGAON,Maharashtra,SMITA UDAY WAGH,District Authority Auditor,auditor_jalgaon,Auditor@Jalgaon2026!
Lok Sabha,Member of Parliament (Lok Sabha),JALGAON,JALGAON,Maharashtra,SMITA UDAY WAGH,Member of Parliament,mp_jalgaon,MP@Jalgaon2026!
Lok Sabha,District Authority Auditor,JALNA,JALNA,Maharashtra,KALYAN VAIJINATHRAO KALE,District Authority Auditor,auditor_jalna,Auditor@Jalna2026!
Lok Sabha,Member of Parliament (Lok Sabha),JALNA,JALNA,Maharashtra,KALYAN VAIJINATHRAO KALE,Member of Parliament,mp_jalna,MP@Jalna2026!
Lok Sabha,District Authority Auditor,JALORE,JALORE,Rajasthan,LUMBARAM,District Authority Auditor,auditor_jalore,Auditor@Jalore2026!
Lok Sabha,Member of Parliament (Lok Sabha),JALORE,JALORE,Rajasthan,LUMBARAM,Member of Parliament,mp_jalore,MP@Jalore2026!
Lok Sabha,District Authority Auditor,JALPAIGURI(SC),JALPAIGURI(SC),West Bengal,Dr Jayanta Kumar Roy,District Authority Auditor,auditor_jalpaiguri,Auditor@Jalpaiguri2026!
Lok Sabha,Member of Parliament (Lok Sabha),JALPAIGURI(SC),JALPAIGURI(SC),West Bengal,Dr Jayanta Kumar Roy,Member of Parliament,mp_jalpaiguri,MP@Jalpaiguri2026!
Lok Sabha,District Authority Auditor,JAMMU,JAMMU,Jammu And Kashmir,Shri Jugal Kishore Sharma,District Authority Auditor,auditor_jammu,Auditor@Jammu2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAMMU,JAMMU,Jammu And Kashmir,Shri Jugal Kishore Sharma,Member of Parliament,mp_jammu,MP@Jammu2026!
Lok Sabha,District Authority Auditor,JAMNAGAR,JAMNAGAR,Gujarat,Smt Poonamben Hematbhai Maadam,District Authority Auditor,auditor_jamnagar,Auditor@Jamnagar2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAMNAGAR,JAMNAGAR,Gujarat,Smt Poonamben Hematbhai Maadam,Member of Parliament,mp_jamnagar,MP@Jamnagar2026!
Lok Sabha,District Authority Auditor,JAMSHEDPUR,JAMSHEDPUR,Jharkhand,Bidyut Baran Mahato,District Authority Auditor,auditor_jamshedpur,Auditor@Jamshedpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAMSHEDPUR,JAMSHEDPUR,Jharkhand,Bidyut Baran Mahato,Member of Parliament,mp_jamshedpur,MP@Jamshedpur2026!
Lok Sabha,District Authority Auditor,JAMUI(SC),JAMUI(SC),Bihar,ARUN BHARTI,District Authority Auditor,auditor_jamui,Auditor@Jamui2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAMUI(SC),JAMUI(SC),Bihar,ARUN BHARTI,Member of Parliament,mp_jamui,MP@Jamui2026!
Lok Sabha,District Authority Auditor,JANGIPUR,JANGIPUR,West Bengal,Khalilur Rahaman,District Authority Auditor,auditor_jangipur,Auditor@Jangipur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JANGIPUR,JANGIPUR,West Bengal,Khalilur Rahaman,Member of Parliament,mp_jangipur,MP@Jangipur2026!
Lok Sabha,District Authority Auditor,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,KAMLESH JANGDE,District Authority Auditor,auditor_janjgir_champa,Auditor@JanjgirChamp2026!
Lok Sabha,Member of Parliament (Lok Sabha),JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,KAMLESH JANGDE,Member of Parliament,mp_janjgir_champa,MP@JanjgirChamp2026!
Lok Sabha,District Authority Auditor,JAUNPUR,JAUNPUR,Uttar Pradesh,BABU SINGH KUSHWAHA,District Authority Auditor,auditor_jaunpur,Auditor@Jaunpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JAUNPUR,JAUNPUR,Uttar Pradesh,BABU SINGH KUSHWAHA,Member of Parliament,mp_jaunpur,MP@Jaunpur2026!
Lok Sabha,District Authority Auditor,JHALAWAR-BARAN,JHALAWAR-BARAN,Rajasthan,Dushyant Singh,District Authority Auditor,auditor_jhalawar_baran,Auditor@JhalawarBara2026!
Lok Sabha,Member of Parliament (Lok Sabha),JHALAWAR-BARAN,JHALAWAR-BARAN,Rajasthan,Dushyant Singh,Member of Parliament,mp_jhalawar_baran,MP@JhalawarBara2026!
Lok Sabha,District Authority Auditor,JHANJHARPUR,JHANJHARPUR,Bihar,Ramprit Mandal,District Authority Auditor,auditor_jhanjharpur,Auditor@Jhanjharpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JHANJHARPUR,JHANJHARPUR,Bihar,Ramprit Mandal,Member of Parliament,mp_jhanjharpur,MP@Jhanjharpur2026!
Lok Sabha,District Authority Auditor,JHANSI,JHANSI,Uttar Pradesh,Anurag Sharma,District Authority Auditor,auditor_jhansi,Auditor@Jhansi2026!
Lok Sabha,Member of Parliament (Lok Sabha),JHANSI,JHANSI,Uttar Pradesh,Anurag Sharma,Member of Parliament,mp_jhansi,MP@Jhansi2026!
Lok Sabha,District Authority Auditor,JHARGRAM(ST),JHARGRAM(ST),West Bengal,KALIPADA SAREN,District Authority Auditor,auditor_jhargram,Auditor@Jhargram2026!
Lok Sabha,Member of Parliament (Lok Sabha),JHARGRAM(ST),JHARGRAM(ST),West Bengal,KALIPADA SAREN,Member of Parliament,mp_jhargram,MP@Jhargram2026!
Lok Sabha,District Authority Auditor,JHUNJHUNU,JHUNJHUNU,Rajasthan,BRIJENDRA SINGH OLA,District Authority Auditor,auditor_jhunjhunu,Auditor@Jhunjhunu2026!
Lok Sabha,Member of Parliament (Lok Sabha),JHUNJHUNU,JHUNJHUNU,Rajasthan,BRIJENDRA SINGH OLA,Member of Parliament,mp_jhunjhunu,MP@Jhunjhunu2026!
Lok Sabha,District Authority Auditor,JODHPUR,JODHPUR,Rajasthan,Gajendra Singh Shekhawat,District Authority Auditor,auditor_jodhpur,Auditor@Jodhpur2026!
Lok Sabha,Member of Parliament (Lok Sabha),JODHPUR,JODHPUR,Rajasthan,Gajendra Singh Shekhawat,Member of Parliament,mp_jodhpur,MP@Jodhpur2026!
Lok Sabha,District Authority Auditor,JORHAT,JORHAT,Assam,GAURAV GOGOI,District Authority Auditor,auditor_jorhat,Auditor@Jorhat2026!
Lok Sabha,Member of Parliament (Lok Sabha),JORHAT,JORHAT,Assam,GAURAV GOGOI,Member of Parliament,mp_jorhat,MP@Jorhat2026!
Lok Sabha,District Authority Auditor,JOYNAGAR(SC),JOYNAGAR(SC),West Bengal,Pratima Mondal,District Authority Auditor,auditor_joynagar,Auditor@Joynagar2026!
